Grass,Prey,Predator
1424835,412,1746
1434274,406,1745
1443439,403,1737
1452537,404,1733
1461419,399,1731
1470830,394,1729
1480203,390,1722
1489447,387,1721
1499099,384,1720
1508956,380,1719
1518504,375,1716
1528261,370,1713
1538253,366,1713
1548187,365,1708
1557971,362,1706
1568178,355,1709
1578469,350,1709
1588621,350,1705
1598956,344,1705
1609479,344,1696
1620007,339,1697
1630472,336,1693
1640885,335,1688
1651329,333,1684
1661229,330,1678
1671249,327,1672
1681644,324,1666
1691806,325,1661
1702086,322,1654
1712164,321,1652
1722428,315,1651
1732657,310,1648
1742949,309,1640
1753508,310,1632
1763850,309,1628
1774041,307,1618
1783977,308,1612
1794117,301,1598
1804121,296,1597
1814442,293,1598
1824598,291,1591
1834532,287,1586
1844537,281,1581
1854745,278,1578
1864650,276,1567
1875144,273,1543
1885284,270,1536
1895708,266,1532
1906264,262,1527
1916976,258,1521
1927573,257,1511
1937865,253,1507
1948494,252,1501
1958871,252,1492
1969493,250,1489
1980311,248,1475
1990729,247,1463
2001169,243,1457
2011895,239,1450
2022163,232,1442
2032701,229,1439
2043606,225,1427
2054385,222,1416
2065369,222,1406
2075905,219,1398
2086967,212,1387
2097850,210,1378
2108591,210,1364
2119275,205,1354
2130155,202,1345
2141144,196,1343
2152354,192,1334
2163730,189,1328
2175019,191,1316
2186119,187,1309
2197243,183,1304
2208702,181,1295
2220021,179,1284
2231197,178,1273
2242460,179,1264
2253572,174,1262
2264873,172,1253
2276077,168,1248
2287421,166,1239
2298932,164,1232
2310457,161,1221
2321839,158,1220
2333332,156,1214
2344655,154,1208
2356376,155,1201
2367689,153,1197
2379124,150,1190
2390525,148,1181
2402016,150,1174
2413470,146,1173
2424915,146,1163
2436042,144,1157
2447470,143,1150
2458711,143,1140
2469806,146,1130
2481109,145,1116
2492157,146,1110
2502798,142,1103
2514055,142,1094
2525120,139,1089
2536221,138,1083
2547598,135,1080
2559023,133,1076
2570305,131,1070
2581557,130,1061
2593076,126,1054
2604474,127,1048
2616020,124,1044
2627600,123,1037
2639117,118,1032
2650584,117,1022
2661929,112,1019
2673347,111,1015
2684774,109,1008
2696591,107,998
2708459,107,992
2720308,107,984
